business_id,text,category,detected_domain,allowed_domains,is_allowed
M008,Just launched our new apparel range,fashion,fashion,"beauty,fashion,health",1
M002,Order organic online now,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B012,Amazing tour! Perfect for flight needs,travel,travel,travel,1
B009,Shop now for premium apartment at great prices,real_estate,real_estate,real_estate,1
B008,Just launched our new bike range,automotive,automotive,automotive,1
B009,Looking for land? We've got you covered,real_estate,real_estate,real_estate,1
B057,Looking for training? We've got you covered,education,education,education,1
M003,Order grooming online now,beauty,beauty,"beauty,fashion,sports",1
B007,Discover camera and tablet today,electronics,electronics,electronics,1
B003,Just launched our new roulette range,gambling,gambling,education,0
M006,Looking for tourism? We've got you covered,travel,travel,"entertainment,travel",1
M004,Shop now for premium household at great prices,grocery,grocery,"food,grocery",1
M004,Order meal online now,food,food,"food,grocery",1
B003,New arrival: Latest course collection,education,education,education,1
M001,Exclusive household deals - limited time offer,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M006,Exclusive concert deals - limited time offer,entertainment,entertainment,"entertainment,travel",1
M008,Premium apparel services available,fashion,fashion,"beauty,fashion,health",1
M002,Discover smart and mobile today,electronics,electronics,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M001,Discover organic and vegetables today,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B011,Exclusive ebook deals - limited time offer,books,books,books,1
B010,Exclusive music deals - limited time offer,entertainment,entertainment,entertainment,1
B005,Order loan online now,finance,finance,finance,1
B005,Best money ever!,finance,finance,finance,1
M008,Looking for fragrance? We've got you covered,beauty,beauty,"beauty,fashion,health",1
B009,Shop now for premium apartment at great prices,real_estate,real_estate,real_estate,1
M001,Looking for motorcycle? We've got you covered,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B011,Looking for journal? We've got you covered,books,books,books,1
M001,Exclusive machine learning deals - limited time offer,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B009,Best buy ever!,real_estate,real_estate,real_estate,1
B014,Just launched our new beauty range,beauty,beauty,beauty,1
M006,Discover gaming and performance today,entertainment,entertainment,"entertainment,travel",1
M006,Order holiday online now,travel,travel,"entertainment,travel",1
M001,Order clothing online now,fashion,fashion,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B010,Order media online now,entertainment,entertainment,entertainment,1
M005,Best fruits ever!,grocery,grocery,"food,grocery",1
B005,Just launched our new banking range,finance,finance,finance,1
M007,Amazing media! Perfect for art needs,entertainment,entertainment,"entertainment,travel",1
B006,Order outfit online now,fashion,fashion,fashion,1
B004,New arrival: Latest wellness collection,health,health,health,1
M008,Order fragrance online now,beauty,beauty,"beauty,fashion,health",1
B009,Order land online now,real_estate,real_estate,real_estate,1
B003,Best learning ever!,education,education,education,1
M006,Just launched our new travel range,travel,travel,"entertainment,travel",1
M006,Exclusive resort deals - limited time offer,travel,travel,"entertainment,travel",1
B002,Amazing skincare! Perfect for skincare needs,beauty,beauty,tech,0
M001,Looking for haircare? We've got you covered,beauty,beauty,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B005,New arrival: Latest loan collection,finance,finance,finance,1
B006,Exclusive jewelry deals - limited time offer,fashion,fashion,fashion,1
B007,Amazing gadget! Perfect for TV needs,electronics,electronics,electronics,1
M002,New arrival: Latest style collection,fashion,fashion,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M004,Order vegetables online now,grocery,grocery,"food,grocery",1
M002,Order electronic online now,electronics,electronics,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M003,Looking for cosmetics? We've got you covered,beauty,beauty,"beauty,fashion,sports",1
M001,Just launched our new machine learning range,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M008,Order hospital online now,health,health,"beauty,fashion,health",1
M001,Order fashion online now,fashion,fashion,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B002,Amazing machine learning! Perfect for machine learning needs,tech,tech,tech,1
B013,Shop now for premium organic at great prices,grocery,grocery,grocery,1
B005,Order insurance online now,finance,finance,finance,1
M005,Shop now for premium restaurant at great prices,food,food,"food,grocery",1
B015,Exclusive workout deals - limited time offer,sports,sports,sports,1
B009,New arrival: Latest villa collection,real_estate,real_estate,real_estate,1
M001,Looking for beauty? We've got you covered,beauty,beauty,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M003,Premium trend services available,fashion,fashion,"beauty,fashion,sports",1
M001,New arrival: Latest coding collection,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B002,New arrival: Latest digital collection,tech,tech,tech,1
M002,New arrival: Latest magazine collection,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M002,Amazing road! Perfect for road needs,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B002,Best software ever!,tech,tech,tech,1
M005,Looking for household? We've got you covered,grocery,grocery,"food,grocery",1
B008,Looking for auto? We've got you covered,automotive,automotive,automotive,1
M004,New arrival: Latest dish collection,food,food,"food,grocery",1
M001,Looking for ebook? We've got you covered,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B011,Just launched our new novel range,books,books,books,1
B005,Discover bet and gamble today,gambling,gambling,finance,0
M001,Best exercise ever!,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B008,New arrival: Latest car collection,automotive,automotive,automotive,1
M006,Discover performance and film today,entertainment,entertainment,"entertainment,travel",1
B004,Order care online now,health,health,health,1
B002,Looking for coding? We've got you covered,tech,tech,tech,1
B007,Shop now for premium tablet at great prices,electronics,electronics,electronics,1
B002,Amazing code! Perfect for AI needs,tech,tech,tech,1
M002,Just launched our new tablet range,electronics,electronics,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M002,Just launched our new electronic range,electronics,electronics,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M001,Discover drive and drive today,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M001,Order household online now,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M001,Premium magazine services available,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M007,Discover concert and music today,entertainment,entertainment,"entertainment,travel",1
B009,Discover buy and building today,real_estate,real_estate,real_estate,1
M008,Discover beauty and fragrance today,beauty,beauty,"beauty,fashion,health",1
M002,Order gym online now,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B009,Exclusive building deals - limited time offer,real_estate,real_estate,real_estate,1
M001,Shop now for premium motor at great prices,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B007,Best phone ever!,electronics,electronics,electronics,1
M002,Looking for journal? We've got you covered,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M006,Exclusive gaming deals - limited time offer,entertainment,entertainment,"entertainment,travel",1
B002,Premium computer services available,tech,tech,tech,1
M004,Exclusive cooking deals - limited time offer,food,food,"food,grocery",1
M001,Best engine ever!,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M001,New arrival: Latest TV collection,electronics,electronics,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B005,Exclusive investment deals - limited time offer,finance,finance,finance,1
B001,Just launched our new cooking range,food,food,food,1
M008,Premium apparel services available,fashion,fashion,"beauty,fashion,health",1
M001,Amazing skincare! Perfect for makeup needs,beauty,beauty,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M001,Exclusive computer deals - limited time offer,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M007,Amazing gaming! Perfect for streaming needs,entertainment,entertainment,"entertainment,travel",1
B005,Order pill online now,drugs,drugs,finance,0
M007,Discover vacation and hotel today,travel,travel,"entertainment,travel",1
M008,Shop now for premium trend at great prices,fashion,fashion,"beauty,fashion,health",1
M005,Discover household and supermarket today,grocery,grocery,"food,grocery",1
M004,Order meal online now,food,food,"food,grocery",1
M001,Exclusive camera deals - limited time offer,electronics,electronics,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M008,Looking for makeup? We've got you covered,beauty,beauty,"beauty,fashion,health",1
B057,Best education ever!,education,education,education,1
B012,Just launched our new destination range,travel,travel,travel,1
M008,Shop now for premium fitness at great prices,health,health,"beauty,fashion,health",1
B013,Shop now for premium vegetables at great prices,grocery,grocery,grocery,1
M001,Just launched our new app range,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M006,Best show ever!,entertainment,entertainment,"entertainment,travel",1
B009,Order rent online now,real_estate,real_estate,real_estate,1
B009,Just launched our new home range,real_estate,real_estate,real_estate,1
B012,Just launched our new weed range,drugs,drugs,travel,0
B005,Discover finance and finance today,finance,finance,finance,1
B009,Discover flat and home today,real_estate,real_estate,real_estate,1
B009,Discover buy and flat today,real_estate,real_estate,real_estate,1
M006,Best flight ever!,travel,travel,"entertainment,travel",1
M008,Exclusive medicine deals - limited time offer,health,health,"beauty,fashion,health",1
M003,Discover skincare and salon today,beauty,beauty,"beauty,fashion,sports",1
B009,Amazing land! Perfect for apartment needs,real_estate,real_estate,real_estate,1
B005,Discover insurance and finance today,finance,finance,finance,1
B011,Just launched our new publication range,books,books,books,1
M001,Just launched our new auto range,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M002,Just launched our new bike range,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M001,Order ebook online now,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B012,New arrival: Latest booking collection,travel,travel,travel,1
M004,Shop now for premium vegetables at great prices,grocery,grocery,"food,grocery",1
B012,Discover booking and tour today,travel,travel,travel,1
B008,Amazing vehicle! Perfect for vehicle needs,automotive,automotive,automotive,1
M001,Order AI online now,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B057,Just launched our new tutorial range,education,education,education,1
B009,Exclusive buy deals - limited time offer,real_estate,real_estate,real_estate,1
B003,Shop now for premium university at great prices,education,education,education,1
B003,New arrival: Latest course collection,education,education,education,1
M003,Discover apparel and accessories today,fashion,fashion,"beauty,fashion,sports",1
M002,Discover sports and outdoor today,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M001,Best style ever!,fashion,fashion,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B005,Premium investment services available,finance,finance,finance,1
M004,Best recipe ever!,food,food,"food,grocery",1
M001,Amazing exercise! Perfect for fitness equipment needs,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M007,New arrival: Latest media collection,entertainment,entertainment,"entertainment,travel",1
B009,Discover apartment and villa today,real_estate,real_estate,real_estate,1
B009,Exclusive rent deals - limited time offer,real_estate,real_estate,real_estate,1
M006,New arrival: Latest tour collection,travel,travel,"entertainment,travel",1
M008,New arrival: Latest pharmacy collection,health,health,"beauty,fashion,health",1
M004,Best household ever!,grocery,grocery,"food,grocery",1
B010,Premium streaming services available,entertainment,entertainment,entertainment,1
B008,New arrival: Latest vehicle collection,automotive,automotive,automotive,1
M008,Order medical online now,health,health,"beauty,fashion,health",1
M007,Shop now for premium streaming at great prices,entertainment,entertainment,"entertainment,travel",1
B002,Discover technology and technology today,tech,tech,tech,1
M001,Shop now for premium technology at great prices,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M005,Exclusive meal deals - limited time offer,food,food,"food,grocery",1
B009,Best property ever!,real_estate,real_estate,real_estate,1
B010,Exclusive performance deals - limited time offer,entertainment,entertainment,entertainment,1
B003,Shop now for premium skills at great prices,education,education,education,1
B002,Premium program services available,tech,tech,tech,1
M003,Order workout online now,sports,sports,"beauty,fashion,sports",1
B009,Exclusive buy deals - limited time offer,real_estate,real_estate,real_estate,1
M003,New arrival: Latest grooming collection,beauty,beauty,"beauty,fashion,sports",1
M001,Shop now for premium daily needs at great prices,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M001,Premium gadget services available,electronics,electronics,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M002,Premium gym services available,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B003,Best university ever!,education,education,education,1
M001,Looking for meal? We've got you covered,food,food,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",0
M007,Exclusive flight deals - limited time offer,travel,travel,"entertainment,travel",1
M003,Premium fashion services available,fashion,fashion,"beauty,fashion,sports",1
B012,Shop now for premium software at great prices,tech,tech,travel,0
B009,Order apartment online now,real_estate,real_estate,real_estate,1
M002,Shop now for premium team sports at great prices,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M002,New arrival: Latest beauty collection,beauty,beauty,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M002,Shop now for premium accessories at great prices,fashion,fashion,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M006,Looking for flight? We've got you covered,travel,travel,"entertainment,travel",1
B014,Order fragrance online now,beauty,beauty,beauty,1
M008,Amazing wellness! Perfect for pharmacy needs,health,health,"beauty,fashion,health",1
B007,Order gadget online now,electronics,electronics,electronics,1
M008,Discover fashion and trend today,fashion,fashion,"beauty,fashion,health",1
B008,Looking for bike? We've got you covered,automotive,automotive,automotive,1
M002,Just launched our new athletic range,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M007,Amazing hotel! Perfect for hotel needs,travel,travel,"entertainment,travel",1
B057,Order university online now,education,education,education,1
M003,Shop now for premium haircare at great prices,beauty,beauty,"beauty,fashion,sports",1
M004,Amazing eat! Perfect for recipe needs,food,food,"food,grocery",1
M002,Looking for drive? We've got you covered,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B002,Just launched our new machine learning range,tech,tech,tech,1
B004,Discover treatment and medicine today,health,health,health,1
M005,Amazing supermarket! Perfect for supermarket needs,grocery,grocery,"food,grocery",1
M001,Looking for skincare? We've got you covered,beauty,beauty,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M001,Premium code services available,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M007,Shop now for premium tour at great prices,travel,travel,"entertainment,travel",1
M001,Exclusive pistol deals - limited time offer,weapons,weapons,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",0
M001,Discover vegetables and organic today,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M002,Premium author services available,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B010,Order concert online now,entertainment,entertainment,entertainment,1
B011,New arrival: Latest dining collection,food,food,books,0
B002,Amazing coding! Perfect for code needs,tech,tech,tech,1
B001,Order dining online now,food,food,food,1
B057,Exclusive course deals - limited time offer,education,education,education,1
M001,Best vegetables ever!,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B008,Shop now for premium engine at great prices,automotive,automotive,automotive,1
M006,Just launched our new media range,entertainment,entertainment,"entertainment,travel",1
M002,Exclusive coding deals - limited time offer,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports",0
M007,Amazing ammunition! Perfect for pistol needs,weapons,weapons,"entertainment,travel",0
M008,Order hospital online now,health,health,"beauty,fashion,health",1
B011,Premium reading services available,books,books,books,1
B011,Just launched our new author range,books,books,books,1
M002,Exclusive skincare deals - limited time offer,beauty,beauty,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B011,Shop now for premium ebook at great prices,books,books,books,1
B002,Premium technology services available,tech,tech,tech,1
M001,Shop now for premium journal at great prices,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B007,Shop now for premium electronic at great prices,electronics,electronics,electronics,1
B011,Discover books and reading today,books,books,books,1
M002,Just launched our new camera range,electronics,electronics,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M006,Discover destination and holiday today,travel,travel,"entertainment,travel",1
M003,Premium fitness equipment services available,sports,sports,"beauty,fashion,sports",1
B001,Amazing cuisine! Perfect for restaurant needs,food,food,food,1
B012,Looking for drive? We've got you covered,automotive,automotive,travel,0
B005,New arrival: Latest investment collection,finance,finance,finance,1
M002,Shop now for premium engine at great prices,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B008,Shop now for premium engine at great prices,automotive,automotive,automotive,1
M002,Looking for vegetables? We've got you covered,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M002,Order fitness equipment online now,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B004,Premium pharmacy services available,health,health,health,1
B002,Order code online now,tech,tech,tech,1
M005,Looking for organic? We've got you covered,grocery,grocery,"food,grocery",1
M005,New arrival: Latest household collection,grocery,grocery,"food,grocery",1
B012,New arrival: Latest flight collection,travel,travel,travel,1
B012,Amazing xxx! Perfect for nsfw needs,adult_content,adult_content,travel,0
B004,Best doctor ever!,health,health,health,1
B057,Just launched our new course range,education,education,education,1
M001,Order narcotic online now,drugs,drugs,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",0
M006,Amazing hotel! Perfect for destination needs,travel,travel,"entertainment,travel",1
B009,Just launched our new apartment range,real_estate,real_estate,real_estate,1
M008,Order medicine online now,health,health,"beauty,fashion,health",1
M002,Order books online now,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B009,Amazing weed! Perfect for opioid needs,drugs,drugs,real_estate,0
B003,Just launched our new teach range,education,education,education,1
M006,Looking for streaming? We've got you covered,entertainment,entertainment,"entertainment,travel",1
M001,Premium technology services available,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B003,Shop now for premium education at great prices,education,education,education,1
B003,New arrival: Latest study collection,education,education,education,1
B004,Just launched our new pharmacy range,health,health,health,1
M003,Best skincare ever!,beauty,beauty,"beauty,fashion,sports",1
M002,Amazing team sports! Perfect for outdoor needs,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M006,Shop now for premium booking at great prices,travel,travel,"entertainment,travel",1
B009,Discover land and apartment today,real_estate,real_estate,real_estate,1
M002,Amazing car! Perfect for bike needs,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M002,Best haircare ever!,beauty,beauty,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B009,Looking for home? We've got you covered,real_estate,real_estate,real_estate,1
M007,Discover booking and destination today,travel,travel,"entertainment,travel",1
B014,Shop now for premium skincare at great prices,beauty,beauty,beauty,1
M001,New arrival: Latest program collection,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B002,Best computer ever!,tech,tech,tech,1
M001,Discover style and accessories today,fashion,fashion,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B005,New arrival: Latest finance collection,finance,finance,finance,1
B005,Looking for finance? We've got you covered,finance,finance,finance,1
M002,Best tablet ever!,electronics,electronics,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M002,Discover magazine and literature today,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B005,Just launched our new money range,finance,finance,finance,1
B057,New arrival: Latest learning collection,education,education,education,1
M002,Amazing fresh! Perfect for vegetables needs,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B015,Best gym ever!,sports,sports,sports,1
M001,New arrival: Latest motorcycle collection,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M005,Order eat online now,food,food,"food,grocery",1
B008,Premium motor services available,automotive,automotive,automotive,1
B009,Looking for apartment? We've got you covered,real_estate,real_estate,real_estate,1
M005,Best dining ever!,food,food,"food,grocery",1
M003,Discover dress and outfit today,fashion,fashion,"beauty,fashion,sports",1
